시도,시군구,읍면동,1톤,1.4톤,2.5톤,3.5톤,5톤,5톤축,11톤
서울시,강남구,,25,26,30,31,40,42,50
서울시,서초구,,25,26,30,31,40,42,50
서울시,송파구,,25,26,30,31,40,42,50
서울시,강동구,,25,26,30,31,40,42,50
서울시,종로구,,26,27,31,32,41,43,53
서울시,중구,,26,27,31,32,41,43,53
서울시,용산구,,26,27,31,32,41,43,53
서울시,성동구,,26,27,31,32,41,43,53
서울시,광진구,,26,27,31,32,41,43,53
서울시,동대문구,,26,27,31,32,41,43,53
서울시,중랑구,,26,27,31,32,41,43,53
서울시,성북구,,26,27,31,32,41,43,53
서울시,강북구,,26,27,31,32,41,43,53
서울시,도봉구,,26,27,31,32,41,43,53
서울시,노원구,,26,27,31,32,41,43,53
서울시,은평구,,26,27,31,32,41,43,53
서울시,서대문구,,26,27,31,32,41,43,53
서울시,마포구,,26,27,31,32,41,43,53
서울시,양천구,,26,27,31,32,41,43,53
서울시,강서구,,26,27,31,32,41,43,53
서울시,구로구,,26,27,31,32,41,43,53
서울시,금천구,,26,27,31,32,41,43,53
서울시,영등포구,,26,27,31,32,41,43,53
서울시,동작구,,26,27,31,32,41,43,53
서울시,관악구,,26,27,31,32,41,43,53
인천시,,,26,27,32,33,42,44,53
인천시,중구,중산동,27,28,34,35,43,45,56
인천시,중구,운남동,27,28,34,35,43,45,56
인천시,중구,운서동(공항),27,28,34,35,43,45,56
인천시,중구,운북동,27,28,34,35,43,45,56
인천시,중구,영종1동,27,28,34,35,43,45,56
인천시,중구,을왕동(공항),27,28,34,35,43,45,56
인천시,중구,남북동,27,28,34,35,43,45,56
인천시,중구,덕교동,27,28,34,35,43,45,56
인천시,중구,무의동,27,28,34,35,43,45,56
인천시,중구,용유동,27,28,34,35,43,45,56
인천시,강화군,,28,29,35,36,44,46,58
경기도,광주시,,22,23,29,30,38,40,48
경기도,가평군,,25,26,31,32,40,42,50
경기도,광명시,,25,26,30,31,40,42,50
경기도,구리시,,24,25,30,31,38,40,50
경기도,군포시,,22,23,30,31,37,39,49
경기도,김포시,,27,28,33,34,42,44,56
경기도,남양주시,,24,25,30,31,38,40,50
경기도,동두천시,,26,27,32,33,42,44,54
경기도,부천시,,26,27,32,33,42,44,53
경기도,성남시,,22,23,30,31,38,40,48
경기도,수원시,,22,21,30,31,38,40,48
경기도,시흥시,,25,26,31,32,40,42,50
경기도,안산시,,24,25,31,32,40,42,50
경기도,안성시,,21,22,27,28,35,37,46
경기도,안양시,,22,23,30,31,37,39,49
경기도,양주시,,25,26,31,32,41,43,53
경기도,양평군,,22,23,28,29,36,38,47
경기도,여주시,,21,22,27,28,34,36,44
경기도,연천군,,27,28,34,35,44,46,58
경기도,오산시,,22,23,28,29,36,38,47
경기도,용인시,,22,23,28,29,36,38,48
경기도,의왕시,,22,23,30,31,38,40,49
경기도,의정부시,,25,26,31,32,40,42,52
경기도,이천시,,21,22,27,28,35,37,45
경기도,과천시,,27,28,33,34,42,44,56
경기도,고양시,,27,28,33,34,42,44,56
경기도,파주시,,27,28,33,34,42,44,56
경기도,평택시,,21,22,27,28,35,37,46
경기도,포천시,,27,28,32,33,42,44,56
경기도,하남시,,22,23,29,30,38,40,48
경기도,화성시,,23,24,30,31,39,41,50
충청남도,대전시,,18,19,22,23,29,31,36
세종시,세종,,19,20,25,26,30,32,38
세종시,,조치원읍,19,20,25,26,30,32,38
충청남도,논산시,강경읍,19,20,25,26,31,33,40
충청남도,공주시,,19,20,25,26,31,33,40
충청남도,금산시,,17,18,22,23,29,31,35
충청남도,논산시,,19,20,25,26,31,33,40
충청남도,당진시,,22,23,29,30,36,38,48
충청남도,서산시,대산읍,22,23,30,31,37,39,49
충청남도,보령시,,21,22,28,29,35,37,46
충청남도,태안군,,24,25,30,31,38,40,50
충청남도,홍성군,,21,22,28,29,35,37,46
충청남도,예산군,,20,21,27,28,34,36,44
충청남도,부여군,,19,20,26,27,32,34,42
충청남도,서산시,,22,23,29,30,37,39,48
충청남도,서천군,,20,21,26,27,32,34,42
